,score_sum
6356,0.0
1595,98.0
8345,96.0
9003,0.0
3475,97.0
159,0.0
3382,0.0
2102,8.0
217,97.0
9153,0.0
7154,99.0
2933,28.0
9840,22.0
5772,10.0
8597,4.0
2294,6.0
10135,8.0
6995,32.0
5269,0.0
4028,8.0
7454,0.0
7396,6.0
7564,14.0
5935,0.0
748,96.0
9970,0.0
7622,0.0
3653,0.0
9046,7.0
10476,1.0
5407,95.0
3649,99.0
9040,22.0
7379,4.0
9640,98.0
395,0.0
8198,96.0
976,0.0
6194,99.0
1018,97.0
2609,0.0
5713,14.0
3710,13.0
2376,99.0
3987,9.0
2640,97.0
2428,98.0
5506,4.0
8723,0.0
5144,94.0
6004,0.0
8917,97.0
1769,0.0
9301,94.0
7092,6.0
10444,6.0
527,0.0
4861,6.0
2045,0.0
7853,4.0
1833,1.0
1688,0.0
601,97.0
3001,0.0
3813,16.0
3663,99.0
4312,0.0
4540,10.0
7901,98.0
8105,95.0
6380,4.0
8730,99.0
186,10.0
5499,96.0
6501,0.0
9987,3.0
10087,10.0
1734,90.0
4960,14.0
342,0.0
3991,96.0
8342,95.0
7305,0.0
864,0.0
10601,100.0
436,0.0
5683,0.0
6890,96.0
4660,0.0
3506,72.0
9289,99.0
2922,6.0
1639,94.0
9632,22.0
4808,0.0
6789,94.0
2147,0.0
1625,4.0
7675,0.0
6426,94.0
9922,1.0
9420,14.0
377,0.0
10906,99.0
357,5.0
6894,97.0
8880,98.0
5272,0.0
6489,0.0
7524,0.0
2055,0.0
7745,0.0
10605,93.0
4590,0.0
10146,9.0
8234,94.0
2775,96.0
6656,0.0
2707,16.0
9299,97.0
4679,0.0
988,0.0
8964,0.0
3154,0.0
2571,96.0
826,24.0
8757,97.0
6042,96.0
10610,100.0
7882,98.0
2968,95.0
1918,98.0
7591,97.0
8335,12.0
5722,16.0
9344,2.0
2667,98.0
9966,6.0
5161,2.0
1715,0.0
2077,0.0
6887,24.0
2443,0.0
5229,0.0
868,4.0
148,0.0
9138,96.0
7816,95.0
6735,8.0
2060,0.0
4485,100.0
10221,94.0
3022,0.0
1956,2.0
1117,94.0
9948,4.0
2407,0.0
3193,8.0
10895,14.0
3346,94.0
2798,98.0
9060,20.0
10009,11.0
5207,0.0
8388,0.0
7080,10.0
8349,96.0
6193,96.0
4674,0.0
1932,98.0
6322,85.0
8152,95.0
5832,97.0
5582,97.0
9582,98.0
865,96.0
4913,96.0
9452,97.0
5140,14.0
8619,0.0
9339,98.0
3238,0.0
5429,4.0
4870,98.0
4944,91.0
9704,4.0
1716,0.0
4501,99.0
7118,16.0
6071,6.0
4550,5.0
9597,92.0
5640,4.0
6876,98.0
5364,93.0
4266,16.0
6062,96.0
4566,0.0
3261,0.0
4366,0.0
3399,99.0
2500,0.0
4955,93.0
2520,8.0
5706,0.0
6935,91.0
7820,97.0
7030,0.0
1572,0.0
1224,2.0
545,95.0
644,4.0
9974,98.0
9229,8.0
1691,0.0
4762,95.0
5592,3.0
867,8.0
9604,96.0
5801,0.0
9223,95.0
788,10.0
2049,2.0
3033,9.0
3934,0.0
5026,8.0
9035,14.0
348,4.0
6706,6.0
8877,0.0
4368,0.0
6712,95.0
5618,0.0
5610,0.0
6564,98.0
7638,0.0
9919,4.0
2589,0.0
7050,0.0
10495,0.0
9561,94.0
3584,8.0
822,98.0
10851,0.0
7496,0.0
6873,97.0
5339,97.0
6760,98.0
4733,97.0
1711,0.0
1987,0.0
3559,8.0
6234,0.0
6523,0.0
1038,98.0
10523,4.0
7041,0.0
5925,0.0
6158,4.0
2679,18.0
8887,16.0
9568,93.0
3922,0.0
10804,4.0
5958,100.0
5092,95.0
2449,0.0
5440,99.0
1775,0.0
3132,4.0
10355,0.0
5399,97.0
2572,99.0
9615,2.0
1087,4.0
9685,99.0
2098,90.0
8576,96.0
792,98.0
497,4.0
5940,10.0
1958,3.0
230,10.0
1463,10.0
5353,89.0
8114,98.0
3776,94.0
9738,0.0
1004,94.0
8315,0.0
9907,0.0
10689,0.0
6308,96.0
3057,6.0
6821,98.0
8225,90.0
6290,2.0
1363,4.0
8489,0.0
7512,0.0
9013,0.0
10952,0.0
4348,0.0
5243,6.0
441,8.0
5108,99.0
3115,2.0
5717,91.0
945,10.0
2550,91.0
473,0.0
3865,97.0
2784,98.0
3911,4.0
4393,98.0
10472,14.0
4961,4.0
2531,16.0
3706,94.0
634,3.0
4344,0.0
5342,2.0
1756,0.0
757,34.0
10325,98.0
4598,97.0
2953,12.0
1662,0.0
9088,94.0
9537,93.0
744,0.0
6424,98.0
1816,0.0
7443,0.0
8546,12.0
6459,26.0
1045,4.0
9388,0.0
3330,93.0
6172,0.0
7193,2.0
1889,0.0
7437,0.0
1064,1.0
9325,6.0
9010,16.0
4447,0.0
5651,2.0
1113,97.0
2444,0.0
2481,16.0
2516,94.0
8496,12.0
5932,0.0
9689,85.0
8957,0.0
6466,0.0
6249,94.0
6604,0.0
4763,98.0
2992,0.0
2502,97.0
980,0.0
421,95.0
157,0.0
3133,0.0
3201,0.0
10187,0.0
1128,100.0
5922,0.0
6190,22.0
5845,16.0
4776,10.0
2238,30.0
7844,94.0
408,8.0
4325,0.0
322,98.0
3300,4.0
6282,100.0
4087,4.0
8244,96.0
1539,0.0
7169,8.0
4391,0.0
3920,0.0
6555,94.0
5590,0.0
5634,98.0
4116,0.0
5422,12.0
2552,98.0
1915,95.0
6306,11.0
5405,94.0
2279,2.0
10461,5.0
2138,0.0
6888,4.0
1548,0.0
2771,98.0
10394,0.0
10267,99.0
10374,4.0
4832,0.0
6910,14.0
7833,95.0
3929,0.0
10763,2.0
4627,8.0
6753,11.0
4438,6.0
8381,4.0
9545,4.0
