,score_sum
6357,16.0
1594,7.0
6698,97.0
6266,11.0
10490,12.0
158,0.0
8065,10.0
2101,0.0
216,1.0
6665,0.0
9215,98.0
6632,0.0
9789,0.0
5772,10.0
6935,91.0
2293,0.0
9421,0.0
9597,92.0
9255,4.0
9236,4.0
10919,0.0
7398,0.0
6601,97.0
3420,0.0
747,97.0
6618,94.0
5989,12.0
6014,0.0
5676,0.0
8932,0.0
9650,97.0
10925,0.0
6821,98.0
7205,9.0
7231,2.0
394,0.0
3650,99.0
975,0.0
4479,6.0
1017,8.0
2608,0.0
10665,0.0
3710,13.0
2375,96.0
5366,93.0
2639,4.0
2427,94.0
5506,4.0
5412,2.0
8591,99.0
4007,16.0
8560,6.0
1768,0.0
6737,95.0
4534,97.0
3723,8.0
526,0.0
3820,0.0
2044,0.0
9783,87.0
1832,4.0
1687,0.0
600,96.0
3344,99.0
10369,98.0
3663,99.0
6146,93.0
4540,10.0
4399,2.0
8107,0.0
6802,98.0
4304,0.0
185,6.0
6692,97.0
9363,0.0
5441,97.0
10791,8.0
1733,89.0
4960,14.0
341,4.0
3991,96.0
7722,24.0
3032,11.0
863,4.0
10602,91.0
435,100.0
8805,98.0
6892,8.0
8221,0.0
2975,8.0
9291,100.0
6435,97.0
1638,6.0
4890,98.0
4808,0.0
6791,93.0
2146,0.0
1624,10.0
3471,18.0
5350,14.0
10584,7.0
10464,100.0
376,0.0
10371,93.0
356,4.0
4076,96.0
7705,4.0
6379,93.0
6491,0.0
7796,4.0
2054,15.0
7747,0.0
9018,96.0
6529,98.0
9337,97.0
2875,96.0
6291,93.0
9532,18.0
2706,100.0
8725,6.0
7680,0.0
987,0.0
8965,0.0
6335,92.0
2570,96.0
825,4.0
8758,94.0
6043,94.0
5087,4.0
9524,92.0
10086,10.0
1917,15.0
10774,8.0
9943,0.0
2936,0.0
8392,0.0
2666,12.0
5659,6.0
7017,2.0
1714,0.0
2076,2.0
4503,97.0
2442,0.0
3464,99.0
867,8.0
147,0.0
10054,6.0
7818,99.0
8374,12.0
2059,6.0
5651,2.0
10222,96.0
7731,100.0
1955,0.0
1116,95.0
9949,2.0
2406,0.0
3193,8.0
8624,0.0
8987,0.0
2797,94.0
10410,0.0
7343,0.0
4945,88.0
8241,99.0
6751,12.0
8350,0.0
6725,93.0
6580,13.0
1931,4.0
9927,100.0
8154,99.0
5832,97.0
7900,0.0
3239,0.0
864,0.0
3698,98.0
9548,11.0
10578,0.0
6497,0.0
9341,0.0
3424,0.0
2917,0.0
5093,97.0
6733,90.0
9706,8.0
1715,0.0
9883,0.0
5344,0.0
4576,20.0
8656,0.0
6694,0.0
6499,0.0
6198,22.0
6730,100.0
4266,16.0
6041,95.0
10658,0.0
6317,96.0
4676,0.0
8405,6.0
2499,0.0
4955,93.0
2519,10.0
5706,0.0
3955,0.0
7482,11.0
7066,0.0
1571,0.0
1223,4.0
544,99.0
643,0.0
7710,4.0
6591,6.0
1690,0.0
4617,0.0
6416,0.0
866,96.0
5831,93.0
10521,4.0
10301,8.0
787,99.0
2048,7.0
9960,6.0
4250,8.0
8895,8.0
9036,92.0
347,99.0
