Hyper tuning Output – RandomizedSearchCV,,,
Model,Best R-Squared Value,Best hyperparameters,Optimization Time (min)
SVR,0.92,"'kernel': 'rbf',",10.16
,," 'epsilon': 1,",
,, 'C': 100,
RFR,0.9,"'n_estimators': 50, 'max_leaf_nodes': 9, 'max_features': 'sqrt', 'max_depth': 9",0.31
XGBR,0.99,"'subsample': 0.5, 'min_child_weight': 1, 'max_depth': 3, 'learning_rate': 0.5",2.46
,,,
Hyper tuning Output – Bayes Optimization,,,
Model,Best R-Squared Value,Best hyperparameters,Optimization Time (min)
SVR,0.92,"'C': 69.7, ",15.5
,,'epsilon': 0.01,
RFR,0.9,"'n_estimators': 53, 'max_leaf_nodes': 9, ",0.5
,,'max_depth': 9,
XGBR,0.99,"'subsample': 0.77,",3.8
,,"'min_child_weight': 1.6,",
,,"'max_depth': 8.0,",
,,'learning_rate': 0.05,
